barometer    result    acceleration
154.4891    154.4886    9.02896
154.4891    154.4923    8.96933
154.4891    154.4861    8.94891
154.4891    154.4884    8.94684
154.4891    154.4938    8.92638
154.4891    154.4856    9.00516
154.4891    154.4886    9.07796
154.4891    154.4924    9.01734
154.4891    154.4860    9.01860
154.4891    154.4884    9.01654
154.4891    154.4940    9.00370
154.4891    154.4855    8.93465
154.4891    154.4886    8.83486
154.4891    154.4919    8.76479
154.4891    154.4864    8.74494
154.4891    154.4885    8.72815
154.4891    154.4928    8.88128
154.4891    154.4863    8.96303
154.4891    154.4887    8.96757
154.4891    154.4917    8.99227
154.4891    154.4867    9.06867
154.4891    154.4886    9.10266
154.4891    154.4928    9.09648
154.5678    154.5650    9.07710
154.5678    154.5673    9.19183
154.5678    154.5704    9.15264
154.5678    154.5651    9.08051
154.5678    154.5671    9.08401
154.5678    154.5717    9.08687
154.5678    154.5648    9.13718
154.5678    154.5673    9.19313
154.5678    154.5708    9.26878
154.5678    154.5649    9.34869
154.5678    154.5671    9.39311
154.5678    154.5720    9.40670
154.5678    154.5646    9.48866
154.5678    154.5673    9.46583
154.5678    154.5703    9.36583
154.5678    154.5653    9.45183
154.5678    154.5672    9.47302
154.5678    154.5715    9.43825
154.5678    154.5650    9.41750
154.5678    154.5673    9.42303
154.5678    154.5704    9.45694
154.5678    154.5652    9.44272
154.5678    154.5672    9.47852
154.5678    154.5716    9.45516
154.6292    154.6263    9.50173
154.6292    154.6288    9.50638
154.6292    154.6318    9.48278
154.6292    154.6268    9.50378
154.6292    154.6287    9.52237
154.6292    154.6329    9.52589
154.6292    154.6265    9.53615
154.6292    154.6288    9.55568
154.6292    154.6318    9.58688
154.6292    154.6268    9.61918
154.6292    154.6287    9.67457
154.6292    154.6328    9.67578
154.6292    154.6266    9.69736
154.6292    154.6288    9.74148
154.6292    154.6319    9.77649
154.6292    154.6267    9.79507
154.6292    154.6286    9.79136
154.6292    154.6331    9.79951
154.6292    154.6264    9.82284
154.6292    154.6287    9.98087
154.6292    154.6324    10.0626
154.6292    154.6262    9.99222
154.6292    154.6285    10.0523
154.6292    154.6338    10.0554
154.6292    154.6259    10.0140
154.6475    154.6469    10.0227
154.6475    154.6506    10.0272
154.6475    154.6446    10.0343
154.6475    154.6468    10.0153
154.6475    154.6522    9.98672
154.6475    154.6440    10.0944
154.6475    154.6469    10.1065
154.6475    154.6508    10.1548
154.6475    154.6444    10.2175
154.6475    154.6468    10.3135
154.6475    154.6520    10.3311
154.6475    154.6443    10.3057
154.6475    154.6470    10.2854
154.6475    154.6504    10.2633
154.6475    154.6448    10.2568
154.6475    154.6468    10.2181
154.6475    154.6515    10.3559
154.6475    154.6446    10.3965
154.6475    154.6470    10.4289
154.6475    154.6506    10.5882
154.6475    154.6446    10.6619
154.6475    154.6468    10.6995
154.6475    154.6518    10.7375
154.6475    154.6443    10.7723
154.6475    154.6469    10.8179
154.6213    154.6244    10.8390
154.6213    154.6184    10.8637
154.6213    154.6206    10.8957
154.6213    154.6255    10.9366
154.6213    154.6182    10.8927
154.6213    154.6207    10.9412
154.6213    154.6245    11.0565
154.6213    154.6183    11.1614
154.6213    154.6205    11.1760
154.6213    154.6262    11.0654
154.6213    154.6176    11.0812
154.6213    154.6206    11.1070
154.6213    154.6247    11.1004
154.6213    154.6181    11.1550
154.6213    154.6204    11.1364
154.6213    154.6264    11.1142
154.6213    154.6175    11.1453
154.6213    154.6206    11.2006
154.6213    154.6250    11.2646
154.6213    154.6178    11.3374
154.6213    154.6204    11.3254
154.6213    154.6268    11.3250
154.6213    154.6172    11.3282
154.6213    154.6206    11.3388
154.6037    154.6075    11.3554
154.6037    154.6001    11.3237
154.6037    154.6027    11.2748
154.6037    154.6096    11.2325
154.6037    154.5994    11.2466
154.6037    154.6029    11.3580
154.6037    154.6080    11.3652
154.6037    154.5997    11.3224
154.6037    154.6026    11.2852
154.6037    154.6107    11.1201
154.6037    154.5987    11.0039
154.6037    154.6029    10.8941
154.6037    154.6078    10.7442
154.6037    154.5998    10.5819
154.6037    154.6026    10.4305
154.6037    154.6108    10.2897
154.6037    154.5986    10.2551
154.6037    154.6028    10.2084
154.6037    154.6082    10.1247
154.6037    154.5994    9.97014
154.6037    154.6025    9.83105
154.6037    154.6113    9.71363
154.6037    154.5983    9.58983
154.6037    154.6028    9.47518
154.6037    154.6082    9.36752
154.6125    154.6081    9.27221
154.6125    154.6112    9.17002
154.6125    154.6199    9.08179
154.6125    154.6071    8.97731
154.6125    154.6115    8.98715
154.6125    154.6173    8.94933
154.6125    154.6078    8.91798
154.6125    154.6112    8.84012
154.6125    154.6204    8.72064
154.6125    154.6068    8.57618
154.6125    154.6115    8.48325
154.6125    154.6172    8.36142
154.6125    154.6079    8.25219
154.6125    154.6112    8.20312
154.6125    154.6198    8.21248
154.6125    154.6072    8.23772
154.6125    154.6115    8.27855
154.6125    154.6175    8.31575
154.6125    154.6077    8.33727
154.6125    154.6111    8.24381
154.6125    154.6204    8.23124
154.6125    154.6068    8.23968
154.6125    154.6114    8.19214
154.6125    154.6177    8.23047
154.6524    154.6474    8.21974
154.6524    154.6511    8.21911
154.6524    154.6601    8.26441
154.6524    154.6468    8.39558
154.6524    154.6513    8.53313
154.6524    154.6582    8.69132
154.6524    154.6470    8.80080
154.6524    154.6510    8.90340
154.6524    154.6605    8.93945
154.6524    154.6465    8.96455
154.6524    154.6513    9.00143
154.6524    154.6580    9.01220
154.6524    154.6472    9.00742
154.6524    154.6510    8.99790
154.6524    154.6608    8.97358
154.6524    154.6463    9.07733
154.6524    154.6513    9.13013
154.6524    154.6582    9.15452
154.6524    154.6470    9.25020
154.6524    154.6509    9.27229
154.6524    154.6608    9.31908
154.6524    154.6464    9.35274
154.6524    154.6513    9.38383
154.6524    154.6582    9.42802
154.6524    154.6470    9.42310
154.6611    154.6596    9.49456
154.6611    154.6694    9.49034
154.6611    154.6550    9.53610
154.6611    154.6599    9.61729
154.6611    154.6669    9.65009
154.6611    154.6556    9.65256
154.6611    154.6596    9.70906
154.6611    154.6694    9.77504
154.6611    154.6551    9.82861
154.6611    154.6599    9.88899
154.6611    154.6670    9.97800
154.6611    154.6556    10.0585
154.6611    154.6596    10.1670
154.6611    154.6692    10.2340
154.6611    154.6552    10.3175
154.6611    154.6599    10.3525
154.6611    154.6667    10.3948
154.6611    154.6557    10.3089
154.6611    154.6595    10.2393
154.6611    154.6699    10.2133
154.6611    154.6548    10.1275
154.6611    154.6599    10.1397
154.6611    154.6670    10.1611
154.6611    154.6556    10.2349
154.6447    154.6431    10.3307
154.6215    154.6299    10.3687
154.6215    154.6156    10.4270
154.6215    154.6204    10.3905
154.6215    154.6270    10.4030
154.6215    154.6164    10.4201
154.6215    154.6200    10.3876
154.6215    154.6300    10.3392
154.6215    154.6155    10.2774
154.6215    154.6204    10.2603
154.6215    154.6271    10.2535
154.6215    154.6163    10.2816
154.6215    154.6200    10.2839
154.6215    154.6295    10.3948
154.6215    154.6158    10.4758
154.6215    154.6204    10.5706
154.6215    154.6272    10.6400
154.6215    154.6162    10.6577
154.6215    154.6200    10.6372
154.6215    154.6303    10.5828
154.6215    154.6153    10.5520
154.6215    154.6203    10.5914
154.6215    154.6273    10.5589
154.6215    154.6161    10.5990
154.6215    154.6199    10.6231
154.5632    154.5719    10.5997
154.5632    154.5570    10.5874
154.5632    154.5619    10.5791
154.5632    154.5689    10.5885
154.5632    154.5578    10.5634
154.5632    154.5616    10.5595
154.5632    154.5719    10.5225
154.5632    154.5569    10.5463
154.5632    154.5619    10.5699
154.5632    154.5691    10.5799
154.5632    154.5576    10.5864
154.5632    154.5615    10.5842
154.5632    154.5720    10.5896
154.5632    154.5569    10.5873
154.5632    154.5619    10.5906
154.5632    154.5690    10.5908
154.5632    154.5577    10.6119
154.5632    154.5615    10.5878
154.5632    154.5722    10.5310
154.5632    154.5568    10.5039
154.5632    154.5618    10.5872
154.5632    154.5694    10.6457
154.5632    154.5573    10.7164
154.5632    154.5615    10.7871
154.5632    154.5721    10.8396
154.4904    154.4841    10.8950
154.4904    154.4890    10.9911
154.4904    154.4966    11.0325
154.4904    154.4845    11.0774
154.4904    154.4886    11.1190
154.4904    154.4995    11.1375
154.4904    154.4839    11.0379
154.4904    154.4890    11.0674
154.4904    154.4966    11.1233
154.4904    154.4846    11.1749
154.4904    154.4886    11.1971
154.4904    154.4995    11.2102
154.4904    154.4838    11.3345
154.4904    154.4889    11.4862
154.4904    154.4969    11.5405
154.4904    154.4842    11.5853
154.4904    154.4885    11.6407
154.4904    154.5000    11.6437
154.4904    154.4836    11.6285
154.4904    154.4890    11.6245
154.4904    154.4966    11.5711
154.4904    154.4845    11.5831
154.4904    154.4886    11.6113
154.4904    154.4998    11.5561
154.4453    154.4387    11.5128
154.4453    154.4439    11.4599
154.4453    154.4516    11.5404
154.4453    154.4394    11.5320
154.4453    154.4434    11.4526
154.4453    154.4552    11.3659
154.4453    154.4383    11.3141
154.4453    154.4438    11.2708
154.4453    154.4516    11.1838
154.4453    154.4393    11.0938
154.4453    154.4434    11.0427
154.4453    154.4554    10.8710
154.4453    154.4383    10.6057
154.4453    154.4439    10.4397
154.4453    154.4513    10.2778
154.4453    154.4396    10.1136
154.4453    154.4434    9.99704
154.4453    154.4552    9.84012
154.4453    154.4384    9.70974
154.4453    154.4439    9.64899
154.4453    154.4515    9.57885
154.4453    154.4394    9.53194
154.4453    154.4434    9.48234
154.4453    154.4549    9.47219
154.4453    154.4385    9.44205
154.4576    154.4563    9.31113
154.4576    154.4635    9.20015
154.4576    154.4521    9.07791
154.4576    154.4558    8.97158
154.4576    154.4671    8.89101
154.4576    154.4510    8.81160
154.4576    154.4562    8.80692
154.4576    154.4640    8.89500
154.4576    154.4517    8.91217
154.4576    154.4557    8.84737
154.4576    154.4676    8.74926
154.4576    154.4507    8.62277
154.4576    154.4562    8.56142
154.4576    154.4639    8.44109
154.4576    154.4518    8.34448
154.4576    154.4557    8.29747
154.4576    154.4673    8.27783
154.4576    154.4509    8.24269
154.4576    154.4562    8.14552
154.4576    154.4638    8.13398
154.4576    154.4519    8.22949
154.4576    154.4559    8.30179
154.4576    154.4665    8.35315
154.4576    154.4515    8.28895
154.4715    154.4701    8.28491
154.4914    154.4972    8.29062
154.4914    154.4860    8.29520
154.4914    154.4897    8.32587
154.4914    154.4999    8.39199
154.4914    154.4854    8.52424
154.4914    154.4900    8.70090
154.4914    154.4978    8.87948
154.4914    154.4855    8.96105
154.4914    154.4895    9.00565
154.4914    154.5006    9.07386
154.4914    154.4850    9.10800
154.4914    154.4900    9.13120
154.4914    154.4976    9.16946
154.4914    154.4857    9.23537
154.4914    154.4896    9.29626
154.4914    154.5004    9.35924
154.4914    154.4852    9.39792
154.4914    154.4900    9.45250
154.4914    154.4978    9.62658
154.4914    154.4856    9.74076
154.4914    154.4895    9.77345
154.4914    154.5006    9.83546
154.4914    154.4850    9.85240
154.4914    154.4900    9.85990
154.5128    154.5190    9.89640
154.5128    154.5071    9.93951
154.5128    154.5109    9.97849
154.5128    154.5218    10.0321
154.5128    154.5065    10.1313
154.5128    154.5113    10.2164
154.5128    154.5189    10.1425
154.5128    154.5071    10.0554
154.5128    154.5109    10.0177
154.5128    154.5222    9.98962
154.5128    154.5063    9.99153
154.5128    154.5113    9.99263
154.5128    154.5190    10.0027
154.5128    154.5070    10.0117
154.5128    154.5108    9.88768
154.5128    154.5229    9.72899
154.5128    154.5058    9.68288
154.5128    154.5112    9.76042
154.5128    154.5198    9.83228
154.5128    154.5064    9.87384
154.5128    154.5107    9.90437
154.5128    154.5230    9.96390
154.5128    154.5057    10.0327
154.5128    154.5112    10.0934
154.5128    154.5198    10.1369
154.4977    154.4913    10.1386
154.4977    154.4957    10.2653
154.4977    154.5076    10.3663
154.4977    154.4909    10.3813
154.4977    154.4962    10.3601
154.4977    154.5042    10.3327
154.4977    154.4918    10.3394
154.4977    154.4958    10.3812
154.4977    154.5076    10.2701
154.4977    154.4909    10.3377
154.4977    154.4961    10.5038
154.4977    154.5048    10.5778
154.4977    154.4913    10.4767
154.4977    154.4955    10.3973
154.4977    154.5087    10.3515
154.4977    154.4902    10.3167
154.4977    154.4961    10.2568
154.4977    154.5048    10.2069
154.4977    154.4913    10.1933
154.4977    154.4955    10.2111
154.4977    154.5082    10.2440
154.4977    154.4905    10.2663
154.4977    154.4961    10.2913
154.4977    154.5048    10.3311
154.4521    154.4456    10.3508
154.4521    154.4498    10.2566
154.4521    154.4632    10.1702
154.4521    154.4445    10.0848
154.4521    154.4503    10.1524
154.4521    154.4595    10.1585
154.4521    154.4452    10.0944
154.4521    154.4497    10.1157
154.4521    154.4632    10.1525
154.4521    154.4444    10.2425
154.4521    154.4503    10.2683
154.4521    154.4595    10.2670
154.4521    154.4452    10.2458
154.4521    154.4497    10.2346
154.4521    154.4634    10.2066
154.4521    154.4443    10.1579
154.4521    154.4503    10.1056
154.4521    154.4594    10.0791
154.4521    154.4453    10.0680
154.4521    154.4497    10.0621
154.4521    154.4631    10.0702
154.4521    154.4444    10.1764
154.4521    154.4503    10.2309
154.4521    154.4596    10.2544
154.4521    154.4452    10.2822
154.4003    154.3980    10.3173
154.4003    154.4115    10.2996
154.4003    154.3926    10.2300
