Syntax version=4
Sun Nov 24 22:27:38 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		akcelerometer[0]	akcelerometer[1]	akcelerometer[2]	gyroskope[0]	gyroskope[1]	gyroskope[2]
D:	time(ms)	(0x20000780,7)	(0x20000788,7)	(0x20000790,7)	(0x20000798,7)	(0x200007a0,7)	(0x200007a8,7)
D:	887.52	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	888.58	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	889.67	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	890.74	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	891.86	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	892.96	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	894.07	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	895.11	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	896.40	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	897.53	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	898.56	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	899.48	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	900.39	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	901.30	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	902.21	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	903.11	0.878972	1.195115	-9.867480	0.069242	0.101200	0.001065
D:	904.05	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	904.96	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	905.87	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	906.77	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	907.72	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	908.63	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	909.52	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	910.43	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	911.49	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	912.35	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	913.48	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	914.50	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
D:	915.40	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	916.31	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	917.23	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	918.16	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	919.06	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	919.96	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	920.96	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	921.87	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	922.78	0.890947	1.087339	-9.853110	0.008522	0.072438	-0.026632
D:	923.68	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	924.62	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	925.56	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	926.53	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	927.48	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	928.48	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	929.43	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	930.56	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	931.69	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	932.76	1.049019	1.013093	-9.814790	-0.018109	0.055394	-0.037284
D:	933.84	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	934.94	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	936.02	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	937.06	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	938.06	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	939.19	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	940.31	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	941.43	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	942.53	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	943.64	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
